Values	Capacitance	GPN	Tol. (%)	Voltage	Dielectric	Description
1	pF	GPC04021R0	±0.5pF	50V	C0G	1pF ±0.5pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
2,2	pf	GPC04022R2	±0.5pF	50V	C0G	2.2pF ±0.5pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
3.3	pF	GPC04023R3	±0.1pF	50V	C0G	3.3pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
4.7	pF	GPC04024R7	±0.25pF	50V	C0G	4.7pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
5.1	pF	GPC04025R1	±0.25pF	50V	C0G	5.1pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
5.6	pF	GPC04025R6	±0.25pF	50V	C0G	5.6pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
6.8	pF	GPC04026R8	±0.25pF	50V	C0G	6.8pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
10	pF	GPC0402100	5	50V	C0G, NP0	10pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
10	pF	GPC0402100-25	5	25V	C0G, NP0	10pF ±5% 25V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
11	pF	GPC0402110	5	50V	C0G	11pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
12	pF	GPC0402120	5	50V	C0G	12pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
13	pF	GPC0402130	5	50V	C0G	13pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
15	pF	GPC0402150	5	50V	C0G	15pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
18	pF	GPC0402180	5	50V	C0G	18pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
