Values	Resistance	GPN	Tol. (%)	Power	Voltage
0	Ω	GPR06030R		100mW	
1	Ω	GPR06031R	1	100mW	50V
1.1	Ω	GPR06031R1	1	100mW	75V
1.2	Ω	GPR06031R2	1	100mW	75V
1.3	Ω	GPR06031R3	1	100mW	75V
1.5	Ω	GPR06031R5	1	100mW	75V
1.6	Ω	GPR06031R6	1	100mW	75V
2	Ω	GPR06032R	1	100mW	50V
2.2	Ω	GPR06032R2	1	100mW	75V
2.4	Ω	GPR06032R4	1	100mW	75V
2.7	Ω	GPR06032R7	1	100mW	75V
3	Ω	GPR06033R	1	100mW	75V
3.3	Ω	GPR06033R3	1	100mW	50V
3.6	Ω	GPR06033R6	1	100mW	50V
3.9	Ω	GPR06033R9	1	100mW	75V
4.3	Ω	GPR06034R3	1	100mW	75V
4.7	Ω	GPR06034R7	1	100mW	75V
5.1	Ω	GPR06035R1	1	100mW	75V
5.6	Ω	GPR06035R6	1	100mW	75V
6.2	Ω	GPR06036R2	1	100mW	75V
6.8	Ω	GPR06036R8	1	100mW	75V
7.5	Ω	GPR06037R5	1	100mW	75V
8.2	Ω	GPR06038R2	1	100mW	75V
9.1	Ω	GPR06039R1	1	100mW	75V
10	Ω	GPR060310R	1	100mW	50V
11	Ω	GPR060311R	1	100mW	50V
12	Ω	GPR060312R	1	100mW	50V
13	Ω	GPR060313R	1	100mW	75V
15	Ω	GPR060315R	1	100mW	75V
16	Ω	GPR060316R	1	100mW	50V
18	Ω	GPR060318R	1	100mW	50V
20	Ω	GPR060320R	1	100mW	75V
22	Ω	GPR060322R	1	100mW	50V
24	Ω	GPR060324R	1	100mW	50V
27	Ω	GPR060327R	1	100mW	75V
30	Ω	GPR060330R	1	100mW	75V
33	Ω	GPR060333R	1	100mW	75V
36	Ω	GPR060336R	1	100mW	50V
39	Ω	GPR060339R	1	100mW	75V
43	Ω	GPR060343R	1	100mW	50V
47	Ω	GPR060347R	1	100mW	50V
51	Ω	GPR060351R	1	100mW	75V
56	Ω	GPR060356R	1	100mW	50V
62	Ω	GPR060362R	1	100mW	75V
68	Ω	GPR060368R	1	100mW	50V
75	Ω	GPR060375R	1	100mW	50V
82	Ω	GPR060382R	1	100mW	75V
91	Ω	GPR060391R	1	100mW	50V
100	Ω	GPR0603100R	1	100mW	50V
110	Ω	GPR0603110R	1	100mW	75V
120	Ω	GPR0603120R	1	100mW	50V
130	Ω	GPR0603130R	1	100mW	75V
150	Ω	GPR0603150R	1	100mW	50V
160	Ω	GPR0603160R	1	100mW	75V
180	Ω	GPR0603180R	1	100mW	50V
200	Ω	GPR0603200R	1	100mW	50V
220	Ω	GPR0603220R	1	100mW	50V
240	Ω	GPR0603240R	1	100mW	50V
270	Ω	GPR0603270R	1	100mW	75V
300	Ω	GPR0603300R	1	100mW	50V
330	Ω	GPR0603330R	1	100mW	50V
360	Ω	GPR0603360R	1	100mW	50V
390	Ω	GPR0603390R	1	100mW	50V
430	Ω	GPR0603430R	1	100mW	50V
470	Ω	GPR0603470R	1	100mW	75V
510	Ω	GPR0603510R	1	100mW	75V
560	Ω	GPR0603560R	1	100mW	50V
620	Ω	GPR0603620R	1	100mW	75V
680	Ω	GPR0603680R	1	100mW	50V
750	Ω	GPR0603750R	1	100mW	75V
820	Ω	GPR0603820R	1	100mW	50V
910	Ω	GPR0603910R	1	100mW	75V
1	kΩ	GPR06031K	1	100mW	50V
1.1	kΩ	GPR06031K1	1	100mW	50V
1.2	kΩ	GPR06031K2	1	100mW	50V
1.3	kΩ	GPR06031K3	1	100mW	50V
1.5	kΩ	GPR06031K5	1	100mW	50V
1.6	kΩ	GPR06031K6	1	100mW	75V
1.8	kΩ	GPR06031K8	1	100mW	50V
2	kΩ	GPR06032K	1	100mW	50V
2.2	kΩ	GPR06032K2	1	100mW	75V
2.4	kΩ	GPR06032K4	1	100mW	50V
2.7	kΩ	GPR06032K7	1	100mW	50V
3	kΩ	GPR06033K	1	100mW	50V
3.3	kΩ	GPR06033K3	1	100mW	75V
3.6	kΩ	GPR06033K6	1	100mW	75V
3.9	kΩ	GPR06033K9	1	100mW	50V
4.3	kΩ	GPR06034K3	1	100mW	50V
4.7	kΩ	GPR06034K7	1	100mW	75V
5.1	kΩ	GPR06035K1	1	100mW	75V
5.6	kΩ	GPR06035K6	1	100mW	50V
6.2	kΩ	GPR06036K2	1	100mW	75V
6.8	kΩ	GPR06036K8	1	100mW	50V
7.5	kΩ	GPR06037K5	1	100mW	50V
8.2	kΩ	GPR06038K2	1	100mW	50V
9.1	kΩ	GPR06039K1	1	100mW	75V
10	kΩ	GPR060310K	1	100mW	75V
10	kΩ	GPR060310K	1	100mW	50V
11	kΩ	GPR060311K	1	100mW	50V
12	kΩ	GPR060312K	1	100mW	50V
13	kΩ	GPR060313K	1	100mW	75V
15	kΩ	GPR060315K	1	100mW	75V
16	kΩ	GPR060316K	1	100mW	50V
18	kΩ	GPR060318K	1	100mW	50V
20	kΩ	GPR060320K	1	100mW	75V
22	kΩ	GPR060322K	1	100mW	50V
24	kΩ	GPR060324K	1	100mW	50V
27	kΩ	GPR060327K	1	100mW	50V
30	kΩ	GPR060330K	1	100mW	50V
33	kΩ	GPR060333K	1	100mW	75V
36	kΩ	GPR060336K	1	100mW	75V
39	kΩ	GPR060339K	1	100mW	50V
43	kΩ	GPR060343K	1	100mW	75V
47	kΩ	GPR060347K	1	100mW	75V
51	kΩ	GPR060351K	1	100mW	50V
56	kΩ	GPR060356K	1	100mW	75V
62	kΩ	GPR060362K	1	100mW	50V
68	kΩ	GPR060368K	1	100mW	50V
75	kΩ	GPR060375K	1	100mW	50V
82	kΩ	GPR060382K	1	100mW	50V
91	kΩ	GPR060391K	1	100mW	50V
100	kΩ	GPR0603100K	1	100mW	50V
110	kΩ	GPR0603110K	1	100mW	50V
120	kΩ	GPR0603120K	1	100mW	50V
130	kΩ	GPR0603130K	1	100mW	75V
150	kΩ	GPR0603150K	1	100mW	50V
160	kΩ	GPR0603160K	1	100mW	50V
180	kΩ	GPR0603180K	1	100mW	50V
200	kΩ	GPR0603200K	1	100mW	50V
220	kΩ	GPR0603220K	1	100mW	75V
240	kΩ	GPR0603240K	1	100mW	75V
270	kΩ	GPR0603270K	1	100mW	50V
300	kΩ	GPR0603300K	1	100mW	75V
330	kΩ	GPR0603330K	1	100mW	50V
360	kΩ	GPR0603360K	1	100mW	75V
390	kΩ	GPR0603390K	1	100mW	75V
430	kΩ	GPR0603430K	1	100mW	75V
470	kΩ	GPR0603470K	1	100mW	50V
510	kΩ	GPR0603510K	1	100mW	75V
560	kΩ	GPR0603560K	1	100mW	75V
620	kΩ	GPR0603620K	1	100mW	75V
